english	category	sub_category	source
Mithril helm Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Adamant keel Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Camphor hull Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Camphor mast and canvas sails Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Adamant helm Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Ironwood hull Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Ironwood mast and cotton sails Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Rune keel Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Rune helm Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Rosewood hull Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Rosewood mast and cotton sails Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Dragon helm Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Dragon keel Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Bronze salvaging hook	interface	generalUI	skillGuide	
Range Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Oak cargo hold Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Iron salvaging hook Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Steel salvaging hook Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Bronze cannon Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Teak cargo hold Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Keg Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Iron cannon Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Anchor Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Inoculation station Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Salvaging station Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Mithril salvaging hook Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Mahogany cargo hold Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Steel cannon Requires: <colNum0>Level <Num0> Ranged</col>, <colNum1>level <Num1> Construction</col>	interface	generalUI	skillGuide	
Ballistic attractor Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Wind catcher Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Teleport focus Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Rope trawling net Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Chum station Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Mithril cannon Requires: <colNum0>Level <Num0> Ranged</col>, <colNum1>level <Num1> Construction</col>	interface	generalUI	skillGuide	
Adamant salvaging hook Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Camphor cargo hold Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Linen trawling net Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Advanced chum station Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Adamant cannon Requires: <colNum0>Level <Num0> Ranged</col>, <colNum1>level <Num1> Construction</col>	interface	generalUI	skillGuide	
Fathom stone Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Crystal extractor Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Rune salvaging hook Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Greater teleport focus Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Hemp trawling net Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Eternal brazier Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Gale catcher Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Ironwood cargo hold Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Rune cannon Requires: <colNum0>Level <Num0> Ranged</col>, <colNum1>level <Num1> Construction</col>	interface	generalUI	skillGuide	
Chum spreader Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Cotton trawling net Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Dragon salvaging hook Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Rosewood cargo hold Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Fathom pearl Requires: <colNum0>Level <Num0> Construction</col>	interface	generalUI	skillGuide	
Dragon cannon Requires: <colNum0>Level <Num0> Ranged</col>, <colNum1>level <Num1> Construction</col>	interface	generalUI	skillGuide	
Maximum crewmates: <Num0>	interface	generalUI	skillGuide	
Jobless Jim - Port Sarim	interface	generalUI	skillGuide	
Captain Siad - Desert Mining Camp Requires: <colNum0>The Tourist Trap</col>	interface	generalUI	skillGuide	
Adventurer Ada - The Pandemonium	interface	generalUI	skillGuide	
Cabin Boy Jenkins - Crandor Requires: <colNum0>Dragon Slayer I</col>	interface	generalUI	skillGuide	
Oarswoman Olga - Burgh de Rott Requires: <colNum0>In Aid of the Myreque</col>	interface	generalUI	skillGuide	
Jittery Jim - Port Khazard	interface	generalUI	skillGuide	
Bosun Zarah - Etceteria Requires: <colNum0>Royal Trouble</col>	interface	generalUI	skillGuide	
Jolly Jim - Brimhaven	interface	generalUI	skillGuide	
Spotter Virginia - Ruins of Unkah Requires: <colNum0><Num0> subdues of Tempoross</col>	interface	generalUI	skillGuide	
Sailor Jakob - Catherby	interface	generalUI	skillGuide	
Sailing	interface	generalUI	skillGuide	
Sea current charting Requires: <colNum0>Current Affairs</col>	interface	generalUI	skillGuide	
Minigame Teleport	interface	mainTabs	spellBookTab	
Lvl-<Num0> Enchant	interface	mainTabs	spellBookTab	
Level <Num0>: Monster Inspect	interface	mainTabs	spellBookTab	
Inspect various statistics of a monster	interface	mainTabs	spellBookTab	
Level <Num0>: Summon Boat	interface	mainTabs	spellBookTab	
Teleports your boat to the dock nearest you<br><colNum0>Members Only</col>	interface	mainTabs	spellBookTab	
Level <Num0>: Teleport to Boat	interface	mainTabs	spellBookTab	
Teleports you to your boat<br><colNum0>Members Only</col>	interface	mainTabs	spellBookTab	
All Aboard	interface	mainTabs	musicTab	
All the Trimmings	interface	mainTabs	musicTab	
Below the Conch	interface	mainTabs	musicTab	
Boss Moosic	interface	mainTabs	musicTab	
Call of the Tlati	interface	mainTabs	musicTab	
Crashing Waves	interface	mainTabs	musicTab	
A Desolate Past	interface	mainTabs	musicTab	
The Eternal Waves	interface	mainTabs	musicTab	
The Great North	interface	mainTabs	musicTab	
Honkytonky Sea Shanty 2	interface	mainTabs	musicTab	
Into the Blue	interface	mainTabs	musicTab	
Life at Sea	interface	mainTabs	musicTab	
Lurking Threats	interface	mainTabs	musicTab	
Mysterious Lands	interface	mainTabs	musicTab	
Over the Horizen	interface	mainTabs	musicTab	
Remote Waters	interface	mainTabs	musicTab	
The Rising Sun	interface	mainTabs	musicTab	
A Sailor's Dream	interface	mainTabs	musicTab	
Scorching Horizon	interface	mainTabs	musicTab	
Set Sail	interface	mainTabs	musicTab	
The Setting Sun	interface	mainTabs	musicTab	
Shadow of the Ocean	interface	mainTabs	musicTab	
Sign here	interface	mainTabs	musicTab	
Spirit of the Forest	interface	mainTabs	musicTab	
Spiritbloom	interface	mainTabs	musicTab	
Stalkers	interface	mainTabs	musicTab	
The Talkasti People	interface	mainTabs	musicTab	
Teklan	interface	mainTabs	musicTab	
Test your Sails	interface	mainTabs	musicTab	
The Tortugan Way	interface	mainTabs	musicTab	
Tranquillity	interface	mainTabs	musicTab	
Truth	interface	mainTabs	musicTab	
The Western Seas	interface	mainTabs	musicTab	
What the Shell!	interface	mainTabs	musicTab	
Yo Ho Ho!	interface	mainTabs	musicTab	
The <colNum0>Leagues VI: Demonic Pacts</col> is here! Hop on to a League world and commit yourself to Yama's Demonic Pacts for an <colNum1>accelerated 'Scaping experience</col>!	interface	loginScreen		
All music	interface	mainTabs	musicTab	
Playlist <Num0>	interface	mainTabs	musicTab	
Unlocked: <Num0> / <Num1>	interface	mainTabs	musicTab	
Crab dance	interface	mainTabs	emotesTab	
PK Skull Prevention (currently on), when active, prevents you from attacking player if this would cause you to become skulled.	interface	mainTabs	settingsTab	
PK Skull Prevention (currently off), when active, prevents you from attacking player if this would cause you to become skulled.	interface	mainTabs	settingsTab	
Choose Option	interface	mainTabs	settingsTab	
Mute Master Volume	interface	mainTabs	settingsTab	
Mute Music Volume	interface	mainTabs	settingsTab	
Mute Sound Effects Volume	interface	mainTabs	settingsTab	
Mute Area Sounds Volume	interface	mainTabs	settingsTab	
Adjust Master Volume (<Num0>%)	interface	mainTabs	settingsTab	
Adjust Music Volume (<Num0>%)	interface	mainTabs	settingsTab	
Adjust Sound Effects Volume (<Num0>%)	interface	mainTabs	settingsTab	
Adjust Area Sounds Volume (<Num0>%)	interface	mainTabs	settingsTab	
Area Mode	interface	mainTabs	musicTab	
Shuffle Mode	interface	mainTabs	musicTab	
Single Mode	interface	mainTabs	musicTab	
Skip Track	interface	mainTabs	musicTab	
Polls: <colNum0>Running</col>	interface	mainTabs	accountManagementTab	
Polls: <colNum0>Inactive</col>	interface	mainTabs	accountManagementTab	
Bounty Hunter	interface	mainTabs	groupTab	
Mastering Mixology	interface	mainTabs	groupTab	
Sorceress Garden	interface	mainTabs	groupTab	
<colNum0>PvP Arena</col> options	interface	mainTabs	groupTab	
Set a Path and Task in focus to see the task name here.	interface	mainTabs	questListTab	
Set a Path and Task in focus to see the task description show up here. Click the eye icon to set a task in focus.	interface	mainTabs	questListTab	
Show Paths	interface	mainTabs	questListTab	
N/A	interface	mainTabs	questListTab	
Show hint	interface	mainTabs	questListTab	
Click here to see all the paths.	interface	mainTabs	questListTab	
Paths	interface	mainTabs	questListTab	
Task information	interface	mainTabs	questListTab	
Settings	interface	mainTabs	questListTab	
Sailing XP:	interface	mainTabs	skillsTab	
Echoes of the North	interface	mainTabs	musicTab	
Elder Wisdom	interface	mainTabs	musicTab	
<colNum0>Sailing:</col>	interface	mainTabs	skillsTab	
Agility shortcut	interface	generalUI	skillGuide	
Key	interface	generalUI	skillGuide	
Agility shortcut (One way)	interface	generalUI	skillGuide	
Altar	interface	generalUI	skillGuide	
Bank	interface	generalUI	skillGuide	
Clan Hub	interface	generalUI	skillGuide	
Combat Achievements	interface	generalUI	skillGuide	
Death's Office	interface	generalUI	skillGuide	
Distraction & Diversion	interface	generalUI	skillGuide	
Docking point	interface	generalUI	skillGuide	
Hairdresser	interface	generalUI	skillGuide	
Holiday event	interface	generalUI	skillGuide	
House portal	interface	generalUI	skillGuide	
Makeover Mage	interface	generalUI	skillGuide	
Map link	interface	generalUI	skillGuide	
Minigame	interface	generalUI	skillGuide	
Poll booth	interface	generalUI	skillGuide	
Quest	interface	generalUI	skillGuide	
Raid	interface	generalUI	skillGuide	
Task Master	interface	generalUI	skillGuide	
Transportation	interface	generalUI	skillGuide	
Tutors	interface	generalUI	skillGuide	
Bank Tutor	interface	generalUI	skillGuide	
Bond Tutor	interface	generalUI	skillGuide	
Clue Tutor	interface	generalUI	skillGuide	
Combat Tutor	interface	generalUI	skillGuide	
Cooking Tutor	interface	generalUI	skillGuide	
Crafting Tutor	interface	generalUI	skillGuide	
Danger Tutor	interface	generalUI	skillGuide	
Deadman Tutor	interface	generalUI	skillGuide	
Fishing Tutor	interface	generalUI	skillGuide	
Hunter Tutor	interface	generalUI	skillGuide	
Ironman Tutor	interface	generalUI	skillGuide	
Leagues Tutor	interface	generalUI	skillGuide	
Lumbridge Guide	interface	generalUI	skillGuide	
Mining Tutor	interface	generalUI	skillGuide	
Prayer Tutor	interface	generalUI	skillGuide	
Security Tutor	interface	generalUI	skillGuide	
Smithing Tutor	interface	generalUI	skillGuide	
Woodcutting Tutor	interface	generalUI	skillGuide	
Training	interface	generalUI	skillGuide	
Agility training	interface	generalUI	skillGuide	
Barracuda Trial	interface	generalUI	skillGuide	
Bird house site	interface	generalUI	skillGuide	
Brewery	interface	generalUI	skillGuide	
Combat training	interface	generalUI	skillGuide	
Cooking range	interface	generalUI	skillGuide	
Crew registrar	interface	generalUI	skillGuide	
Dairy churn	interface	generalUI	skillGuide	
Dairy cow	interface	generalUI	skillGuide	
Farming patch	interface	generalUI	skillGuide	
Fishing spot	interface	generalUI	skillGuide	
Grindstone	interface	generalUI	skillGuide	
Hunter training	interface	generalUI	skillGuide	
Ledger table	interface	generalUI	skillGuide	
Mining site	interface	generalUI	skillGuide	
Polishing wheel	interface	generalUI	skillGuide	
Port task board	interface	generalUI	skillGuide	
Rare trees	interface	generalUI	skillGuide	
Salvaging spot	interface	generalUI	skillGuide	
Salvaging station	interface	generalUI	skillGuide	
Sandpit	interface	generalUI	skillGuide	
Singing bowl	interface	generalUI	skillGuide	
Slayer Master	interface	generalUI	skillGuide	
Stagnant water source	interface	generalUI	skillGuide	
Thieving activity	interface	generalUI	skillGuide	
Trawling shoal	interface	generalUI	skillGuide	
Trip Hammer	interface	generalUI	skillGuide	
Vale totem site	interface	generalUI	skillGuide	
Water source	interface	generalUI	skillGuide	
Windmill	interface	generalUI	skillGuide	
Woodcutting stump	interface	generalUI	skillGuide	
Shopping	interface	generalUI	skillGuide	
Amulet shop	interface	generalUI	skillGuide	
Apothecary	interface	generalUI	skillGuide	
Archery shop	interface	generalUI	skillGuide	
Axe shop	interface	generalUI	skillGuide	
Bounty Hunter trader	interface	generalUI	skillGuide	
Candle shop	interface	generalUI	skillGuide	
Chainmail shop	interface	generalUI	skillGuide	
Clothes shop	interface	generalUI	skillGuide	
Crafting shop	interface	generalUI	skillGuide	
Dye trader	interface	generalUI	skillGuide	
Estate Agent	interface	generalUI	skillGuide	
Farming shop	interface	generalUI	skillGuide	
Fishing shop	interface	generalUI	skillGuide	
Food shop	interface	generalUI	skillGuide	
Forestry shop	interface	generalUI	skillGuide	
Fur trader	interface	generalUI	skillGuide	
Garden supplier	interface	generalUI	skillGuide	
Gem shop	interface	generalUI	skillGuide	
General store	interface	generalUI	skillGuide	
Grand Exchange	interface	generalUI	skillGuide	
Helmet shop	interface	generalUI	skillGuide	
Herbalist	interface	generalUI	skillGuide	
Holiday item trader	interface	generalUI	skillGuide	
Hunter shop	interface	generalUI	skillGuide	
Jewellery shop	interface	generalUI	skillGuide	
Junk checker	interface	generalUI	skillGuide	
Mace shop	interface	generalUI	skillGuide	
Magic shop	interface	generalUI	skillGuide	
Mining shop	interface	generalUI	skillGuide	
Newspaper trader	interface	generalUI	skillGuide	
Pet shop	interface	generalUI	skillGuide	
Platebody shop	interface	generalUI	skillGuide	
Platelegs shop	interface	generalUI	skillGuide	
Plateskirt shop	interface	generalUI	skillGuide	
Pricing expert	interface	generalUI	skillGuide	
Pub	interface	generalUI	skillGuide	
Rope trader	interface	generalUI	skillGuide	
Sawmill	interface	generalUI	skillGuide	
Scimitar shop	interface	generalUI	skillGuide	
Shield shop	interface	generalUI	skillGuide	
Shipwright	interface	generalUI	skillGuide	
Silk trader	interface	generalUI	skillGuide	
Silver shop	interface	generalUI	skillGuide	
Speedrunning shop	interface	generalUI	skillGuide	
Spice shop	interface	generalUI	skillGuide	
Staff shop	interface	generalUI	skillGuide	
Stonemason	interface	generalUI	skillGuide	
Sword shop	interface	generalUI	skillGuide	
Tannery	interface	generalUI	skillGuide	
Taxidermist	interface	generalUI	skillGuide	
Tea trader	interface	generalUI	skillGuide	
Wine trader	interface	generalUI	skillGuide	
'You are here'	interface	generalUI	skillGuide	
Intra-map links	interface	generalUI	skillGuide	
Map labels	interface	generalUI	skillGuide	
Icon tooltips	interface	generalUI	skillGuide	
Effects	interface	generalUI	skillGuide	
Menu	interface	mainTabs	settingsTab	
Gielinor Surface	interface	generalUI	skillGuide	
Game features	interface	generalUI	skillGuide	
Ancient Cavern	interface	generalUI	skillGuide	
Ardent Ocean Underground	interface	generalUI	skillGuide	
Ardougne Underground	interface	generalUI	skillGuide	
Asgarnia Ice Cave	interface	generalUI	skillGuide	
Braindeath Island	interface	generalUI	skillGuide	
Cam Torum	interface	generalUI	skillGuide	
Dorgesh-kaan	interface	generalUI	skillGuide	
Dwarven Mines	interface	generalUI	skillGuide	
Feldip Hills Underground	interface	generalUI	skillGuide	
Fossil Island Underground	interface	generalUI	skillGuide	
Fremennik Slayer Cave	interface	generalUI	skillGuide	
God Wars Dungeon	interface	generalUI	skillGuide	
Kebos Underground	interface	generalUI	skillGuide	
Keldagrim	interface	generalUI	skillGuide	
Kharidian Desert Underground	interface	generalUI	skillGuide	
Kourend Underground	interface	generalUI	skillGuide	
Lair of Tarn Razorlor	interface	generalUI	skillGuide	
LMS Desert Island	interface	generalUI	skillGuide	
LMS Wild Varrock	interface	generalUI	skillGuide	
Misthalin Underground	interface	generalUI	skillGuide	
Mole Hole	interface	generalUI	skillGuide	
Mor Ul Rek	interface	generalUI	skillGuide	
Morytania Underground	interface	generalUI	skillGuide	
Mos Le'Harmless Cave	interface	generalUI	skillGuide	
Neypotzli	interface	generalUI	skillGuide	
Northern Ocean Underground	interface	generalUI	skillGuide	
Ourania Altar	interface	generalUI	skillGuide	
Prifddinas	interface	generalUI	skillGuide	
Prifddinas Grand Library	interface	generalUI	skillGuide	
Prifddinas Underground	interface	generalUI	skillGuide	
Ruins of Camdozaal	interface	generalUI	skillGuide	
Shrouded Ocean Underground	interface	generalUI	skillGuide	
Stronghold of Security	interface	generalUI	skillGuide	
Stronghold Underground	interface	generalUI	skillGuide	
Sunset Ocean Underground	interface	generalUI	skillGuide	
Taverley Underground	interface	generalUI	skillGuide	
The Abyss	interface	generalUI	skillGuide	
Tolna's Rift	interface	generalUI	skillGuide	
Troll Stronghold	interface	generalUI	skillGuide	
Unquiet Ocean Underground	interface	generalUI	skillGuide	
Varlamore Underground	interface	generalUI	skillGuide	
Waterbirth Dungeon	interface	generalUI	skillGuide	
Western Ocean Underground	interface	generalUI	skillGuide	
Wilderness Dungeons	interface	generalUI	skillGuide	
Yanille Underground	interface	generalUI	skillGuide	
Zanaris	interface	generalUI	skillGuide	
Choose the stat you wish to be advanced!	interface	generalUI	skillGuide	
Confirm	interface	generalUI	skillGuide	
History	interface	generalUI	skillGuide	
Empty	interface	generalUI	skillGuide	
Select an offer slot to set up or view an offer.	interface	generalUI	skillGuide	
Exchange	interface	generalUI	skillGuide	
Grand Exchange Trade History	interface	generalUI	skillGuide	
Item Sets	interface	generalUI	skillGuide	
Click on the sets above to pack your items into the set. Click on sets in your inventory to unpack them.	interface	generalUI	skillGuide	
Grand Exchange: Runes	interface	generalUI	skillGuide	
Column view	interface	generalUI	skillGuide	
Iron bar	interface	generalUI	skillGuide	
Bronze bar	interface	generalUI	skillGuide	
Steel bar	interface	generalUI	skillGuide	
Silver bar	interface	generalUI	skillGuide	
Gold bar	interface	generalUI	skillGuide	
Mithril bar	interface	generalUI	skillGuide	
Adamantite bar	interface	generalUI	skillGuide	
Runite bar	interface	generalUI	skillGuide	
Uncut emerald	interface	generalUI	skillGuide	
Emerald	interface	generalUI	skillGuide	
Uncut ruby	interface	generalUI	skillGuide	
Ruby	interface	generalUI	skillGuide	
Uncut diamond	interface	generalUI	skillGuide	
Diamond	interface	generalUI	skillGuide	
Grand Exchange: Weapons and Armour	interface	generalUI	skillGuide	
Adamant set (lg)	interface	generalUI	skillGuide	
Rune armour set (lg)	interface	generalUI	skillGuide	
Green dragonhide set	interface	generalUI	skillGuide	
Adamant set (sk)	interface	generalUI	skillGuide	
Rune armour set (sk)	interface	generalUI	skillGuide	
Logs	interface	generalUI	skillGuide	
Grand Exchange: Logs	interface	generalUI	skillGuide	
<Num0> coins	interface	generalUI	skillGuide	
Vial of water	interface	generalUI	skillGuide	
Strength potion(<Num0>)	interface	generalUI	skillGuide	
Antipoison(<Num0>)	interface	generalUI	skillGuide	
Energy potion(<Num0>)	interface	generalUI	skillGuide	
Grand Exchange: Herbs and Potions	interface	generalUI	skillGuide	
Rune essence	interface	generalUI	skillGuide	
Pure essence	interface	generalUI	skillGuide	
Fire rune	interface	generalUI	skillGuide	
Air rune	interface	generalUI	skillGuide	
Mind rune	interface	generalUI	skillGuide	
Death rune	interface	generalUI	skillGuide	
Chaos rune	interface	generalUI	skillGuide	
Cosmic rune	interface	generalUI	skillGuide	
Water rune	interface	generalUI	skillGuide	
Earth rune	interface	generalUI	skillGuide	
Body rune	interface	generalUI	skillGuide	
Nature rune	interface	generalUI	skillGuide	
Law rune	interface	generalUI	skillGuide	
Settings	interface	generalUI	skillGuide	
Collection Box	interface	generalUI	skillGuide	
Inventory	interface	generalUI	skillGuide	
<colNum0><Num0> coins</col>	interface	generalUI	skillGuide	
Search:	interface	generalUI	skillGuide	
Hide roofs	interface	generalUI	skillGuide	
Activities	interface	generalUI	skillGuide	
The Bank of Gielinor - Deposit Box	interface	generalUI	skillGuide	
Poll History: <Num0>	interface	generalUI	skillGuide	
Offer to BUY items	interface	mainTabs		
The Bank of Gielinor (<Num0>K)	interface	generalUI	skillGuide	
The Bank of Gielinor (<Num0>M)	interface	generalUI	skillGuide	
Uncut sapphire	interface	generalUI	skillGuide	
Sapphire	interface	generalUI	skillGuide	
Grand Exchange: Ores and Bars	interface	generalUI	skillGuide	
Grand Exchange: Set up offer	interface	generalUI	skillGuide	
Buy offer	interface	generalUI	skillGuide	
Quantity:	interface	generalUI	skillGuide	
Choose an item...	interface	generalUI	skillGuide	
Click the icon on the left to search for items.	interface	generalUI	skillGuide	
Price per item:	interface	generalUI	skillGuide	
Audio	interface	generalUI	skillGuide	
Chat	interface	generalUI	skillGuide	
Controls	interface	generalUI	skillGuide	
Display	interface	generalUI	skillGuide	
Gameplay	interface	generalUI	skillGuide	
Interfaces	interface	generalUI	skillGuide	
Warnings	interface	generalUI	skillGuide	
Combat	interface	generalUI	skillGuide	
Hitsplat tinting	interface	generalUI	skillGuide	
Max hit hitsplats	interface	generalUI	skillGuide	
Max hit hitsplats threshold	interface	generalUI	skillGuide	
Show boss health overlay	interface	generalUI	skillGuide	
Show enemy name on health overlay	interface	generalUI	skillGuide	
Health overlay display type	interface	generalUI	skillGuide	
Compact boss health overlay	interface	generalUI	skillGuide	
Minigames	interface	generalUI	skillGuide	
Last Man Standing fog colour	interface	generalUI	skillGuide	
Beginner clue scroll warning	interface	generalUI	skillGuide	
Exact Value	interface	generalUI	skillGuide	
Percentage	interface	generalUI	skillGuide	
Default	interface	generalUI	skillGuide	
Green	interface	generalUI	skillGuide	
Yellow	interface	generalUI	skillGuide	
Red	interface	generalUI	skillGuide	
Blue	interface	generalUI	skillGuide	
White	interface	generalUI	skillGuide	
Master volume - <Num0>%	interface	generalUI	skillGuide	
Music volume - <Num0>%	interface	generalUI	skillGuide	
Sound effects volume - <Num0>%	interface	generalUI	skillGuide	
Area sounds volume - <Num0>%	interface	generalUI	skillGuide	
Reset volume sliders to default	interface	generalUI	skillGuide	
Music Settings	interface	generalUI	skillGuide	
Music mode	interface	generalUI	skillGuide	
Music playlist	interface	generalUI	skillGuide	
Default to area music mode on login	interface	generalUI	skillGuide	
Music area type	interface	generalUI	skillGuide	
Play the default track when entering an area	interface	generalUI	skillGuide	
Play the last track if no other is available	interface	generalUI	skillGuide	
Update music when changing playlists	interface	generalUI	skillGuide	
Music mode to use when mamually selecting music tracks	interface	generalUI	skillGuide	
Music unlock message	interface	generalUI	skillGuide	
Wipe custom music playlist <Num0>	interface	generalUI	skillGuide	
General Audio Settings	interface	generalUI	skillGuide	
Hit sounds	interface	generalUI	skillGuide	
Area	interface	generalUI	skillGuide	
Shuffle	interface	generalUI	skillGuide	
Single	interface	generalUI	skillGuide	
Modern	interface	generalUI	skillGuide	
All music	interface	generalUI	skillGuide	
Playlist <Num0>	interface	generalUI	skillGuide	
Classic	interface	generalUI	skillGuide	
Type A	interface	generalUI	skillGuide	
Type B	interface	generalUI	skillGuide	
'Did you know?' tips	interface	generalUI	skillGuide	
Update clan 'last seen' records	interface	generalUI	skillGuide	
Friend Login/Logout messages	interface	generalUI	skillGuide	
Show chat effects	interface	generalUI	skillGuide	
Split friends private chat	interface	generalUI	skillGuide	
Hide private chat when the chatbox is hidden	interface	generalUI	skillGuide	
Enable precise timing	interface	generalUI	skillGuide	
Enable separating hours	interface	generalUI	skillGuide	
Collection log - New addition notification	interface	generalUI	skillGuide	
Loot drop notifications	interface	generalUI	skillGuide	
Minimum item value needed for loot notification	interface	generalUI	skillGuide	
Untradeable loot notifications	interface	generalUI	skillGuide	
Filter out boss kill-count with spam-filter	interface	generalUI	skillGuide	
Combat Achievement Tasks - Failure	interface	generalUI	skillGuide	
Combat Achievement Tasks - Repeat failure	interface	generalUI	skillGuide	
Combat Achievement Tasks - Repeat completion	interface	generalUI	skillGuide	
Chatbox Mode - Set Automatically	interface	generalUI	skillGuide	
Ignore List - Remove permanently banned accounts daily	interface	generalUI	skillGuide	
Ignore List - Remove permanently muted accounts daily	interface	generalUI	skillGuide	
Chat Colour - Opaque	interface	generalUI	skillGuide	
Public chat	interface	generalUI	skillGuide	
Private chat	interface	generalUI	skillGuide	
Auto chat	interface	generalUI	skillGuide	
Broadcast	interface	generalUI	skillGuide	
Friend chat	interface	generalUI	skillGuide	
Guest clan chat	interface	generalUI	skillGuide	
Clan Broadcasts	interface	generalUI	skillGuide	
Ironman Group chat	interface	generalUI	skillGuide	
Ironman Group Broadcasts	interface	generalUI	skillGuide	
Incoming trade request	interface	generalUI	skillGuide	
Incoming challenge request	interface	generalUI	skillGuide	
'Did you know?' message	interface	generalUI	skillGuide	
Reset opaque chat colours	interface	generalUI	skillGuide	
Chat Colour - Transparent	interface	generalUI	skillGuide	
Reset transparent chat colours	interface	generalUI	skillGuide	
Chat Colour - Split	interface	generalUI	skillGuide	
Reset split chat colours	interface	generalUI	skillGuide	
Timeout	interface	generalUI	skillGuide	
Input value	interface	generalUI	skillGuide	
Control Options	interface	generalUI	skillGuide	
Player Trade options	interface	generalUI	skillGuide	
Player Report options	interface	generalUI	skillGuide	
Player Attack options	interface	generalUI	skillGuide	
NPC Attack options	interface	generalUI	skillGuide	
PK Skull Prevention	interface	generalUI	skillGuide	
Single mouse button mode	interface	generalUI	skillGuide	
Middle mouse button controls the camera	interface	generalUI	skillGuide	
Shift click to drop items	interface	generalUI	skillGuide	
Move follower options lower down	interface	generalUI	skillGuide	
Ctrl+click to invert run mode	interface	generalUI	skillGuide	
Depends on combat levels	interface	generalUI	skillGuide	
Always right-click	interface	generalUI	skillGuide	
Left-click where available	interface	generalUI	skillGuide	
Hidden	interface	generalUI	skillGuide	
Right-click for clanmates	interface	generalUI	skillGuide	
Always	interface	generalUI	skillGuide	
Never	interface	generalUI	skillGuide	
Walk -> Run Only	interface	generalUI	skillGuide	
Run -> Walk Only	interface	generalUI	skillGuide	
Keybinds	interface	generalUI	skillGuide	
None	interface	generalUI	skillGuide	
Restore default keybinds	interface	generalUI	skillGuide	
Modern Layout - Side panel can be closed by the hotkeys	interface	generalUI	skillGuide	
Esc closes the current interface	interface	generalUI	skillGuide	
World Map Hotkey	interface	generalUI	skillGuide	
Graphics	interface	generalUI	skillGuide	
Screen Brightness	interface	generalUI	skillGuide	
Camera zoom distance	interface	generalUI	skillGuide	
